Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 03:16:40.396,114318.6,0.014,BTCUSDT
2025-09-30 03:16:40.396,114318.6,0.002,BTCUSDT
2025-09-30 03:16:40.396,114318.6,0.051,BTCUSDT
2025-09-30 03:16:40.396,114318.6,0.003,BTCUSDT
2025-09-30 03:16:40.396,114318.6,0.07,BTCUSDT
2025-09-30 03:16:40.396,114318.6,0.002,BTCUSDT
2025-09-30 03:16:40.397,114318.6,0.068,BTCUSDT
2025-09-30 03:16:40.397,114318.6,0.002,BTCUSDT
2025-09-30 03:16:40.397,114318.6,0.07,BTCUSDT
2025-09-30 03:16:40.397,114318.5,0.001,BTCUSDT
2025-09-30 03:16:40.397,114318.5,0.001,BTCUSDT
2025-09-30 03:16:40.397,114318.5,0.003,BTCUSDT
2025-09-30 03:16:40.397,114318.5,0.001,BTCUSDT
2025-09-30 03:16:40.397,114318.5,0.001,BTCUSDT
2025-09-30 03:16:40.397,114318.5,0.002,BTCUSDT
2025-09-30 03:16:40.397,114318.5,0.005,BTCUSDT
2025-09-30 03:16:40.397,114318.5,0.001,BTCUSDT
2025-09-30 03:16:40.397,114318.5,0.005,BTCUSDT
2025-09-30 03:16:40.397,114318.5,0.004,BTCUSDT
2025-09-30 03:16:40.397,114318.4,0.002,BTCUSDT
2025-09-30 03:16:40.397,114318.4,0.007,BTCUSDT
2025-09-30 03:16:40.397,114318.2,0.016,BTCUSDT
2025-09-30 03:16:40.397,114318.1,0.016,BTCUSDT
2025-09-30 03:16:40.397,114318.0,0.001,BTCUSDT
2025-09-30 03:16:40.397,114318.0,0.002,BTCUSDT
2025-09-30 03:16:40.397,114318.0,0.002,BTCUSDT
2025-09-30 03:16:40.397,114317.9,0.005,BTCUSDT
2025-09-30 03:16:40.397,114317.3,0.002,BTCUSDT
2025-09-30 03:16:40.397,114317.1,0.001,BTCUSDT
2025-09-30 03:16:40.397,114317.0,0.002,BTCUSDT
2025-09-30 03:16:40.397,114316.6,0.002,BTCUSDT
2025-09-30 03:16:40.397,114316.6,0.011,BTCUSDT
2025-09-30 03:16:40.397,114316.4,0.001,BTCUSDT
2025-09-30 03:16:40.397,114316.4,0.002,BTCUSDT
2025-09-30 03:16:40.397,114316.2,0.04,BTCUSDT
2025-09-30 03:16:40.402,114315.8,0.002,BTCUSDT
2025-09-30 03:16:40.402,114315.8,0.002,BTCUSDT
2025-09-30 03:16:40.402,114315.7,0.001,BTCUSDT
2025-09-30 03:16:40.402,114315.3,0.001,BTCUSDT
2025-09-30 03:16:40.402,114315.2,0.002,BTCUSDT
2025-09-30 03:16:40.402,114315.0,0.002,BTCUSDT
2025-09-30 03:16:40.402,114315.0,0.006,BTCUSDT
2025-09-30 03:16:40.402,114314.7,0.002,BTCUSDT
2025-09-30 03:16:40.402,114314.7,0.001,BTCUSDT
2025-09-30 03:16:40.436,114314.6,0.001,BTCUSDT
2025-09-30 03:16:40.436,114314.6,0.153,BTCUSDT
2025-09-30 03:16:40.436,114314.6,0.043,BTCUSDT
2025-09-30 03:16:40.438,114314.6,0.139,BTCUSDT
2025-09-30 03:16:40.438,114314.6,0.058,BTCUSDT
2025-09-30 03:16:40.544,114314.7,0.036,BTCUSDT
2025-09-30 03:16:40.559,114314.6,0.033,BTCUSDT
2025-09-30 03:16:40.569,114314.6,0.057,BTCUSDT
2025-09-30 03:16:40.569,114314.6,0.003,BTCUSDT
2025-09-30 03:16:40.569,114314.6,0.07,BTCUSDT
2025-09-30 03:16:40.569,114314.6,0.07,BTCUSDT
2025-09-30 03:16:40.569,114314.6,0.003,BTCUSDT
2025-09-30 03:16:40.569,114314.6,0.009,BTCUSDT
2025-09-30 03:16:40.569,114314.6,0.07,BTCUSDT
2025-09-30 03:16:40.569,114314.6,0.07,BTCUSDT
2025-09-30 03:16:40.569,114314.6,0.07,BTCUSDT
2025-09-30 03:16:40.569,114314.6,0.033,BTCUSDT
2025-09-30 03:16:40.570,114314.6,0.411,BTCUSDT
2025-09-30 03:16:40.570,114314.6,0.001,BTCUSDT
2025-09-30 03:16:40.570,114314.6,0.002,BTCUSDT
2025-09-30 03:16:40.570,114314.6,0.002,BTCUSDT
2025-09-30 03:16:40.570,114314.6,0.001,BTCUSDT
2025-09-30 03:16:40.570,114314.6,0.001,BTCUSDT
2025-09-30 03:16:40.570,114314.5,0.001,BTCUSDT
2025-09-30 03:16:40.570,114314.5,0.001,BTCUSDT
2025-09-30 03:16:40.570,114314.5,0.001,BTCUSDT
2025-09-30 03:16:40.576,114314.0,0.003,BTCUSDT
2025-09-30 03:16:40.592,114313.9,0.1,BTCUSDT
2025-09-30 03:16:40.592,114313.9,0.001,BTCUSDT
2025-09-30 03:16:40.592,114313.9,0.001,BTCUSDT
2025-09-30 03:16:40.592,114313.9,0.095,BTCUSDT
2025-09-30 03:16:40.592,114313.9,0.057,BTCUSDT
2025-09-30 03:16:40.592,114313.8,0.001,BTCUSDT
2025-09-30 03:16:40.592,114313.7,0.002,BTCUSDT
2025-09-30 03:16:40.592,114313.7,0.002,BTCUSDT
2025-09-30 03:16:40.592,114313.3,0.07,BTCUSDT
2025-09-30 03:16:40.592,114313.2,0.001,BTCUSDT
2025-09-30 03:16:40.592,114313.2,0.001,BTCUSDT
2025-09-30 03:16:40.592,114313.0,0.002,BTCUSDT
2025-09-30 03:16:40.592,114313.0,0.001,BTCUSDT
2025-09-30 03:16:40.592,114312.6,0.001,BTCUSDT
2025-09-30 03:16:40.592,114312.6,0.002,BTCUSDT
2025-09-30 03:16:40.592,114312.6,0.002,BTCUSDT
2025-09-30 03:16:40.592,114312.5,0.001,BTCUSDT
2025-09-30 03:16:40.592,114312.3,0.002,BTCUSDT
2025-09-30 03:16:40.592,114312.0,0.001,BTCUSDT
2025-09-30 03:16:40.592,114311.7,0.002,BTCUSDT
2025-09-30 03:16:40.609,114311.4,0.002,BTCUSDT
2025-09-30 03:16:40.609,114311.4,0.008,BTCUSDT
2025-09-30 03:16:40.656,114311.4,0.158,BTCUSDT
2025-09-30 03:16:40.656,114311.4,0.164,BTCUSDT
2025-09-30 03:16:40.656,114311.4,0.109,BTCUSDT
2025-09-30 03:16:40.656,114311.4,0.066,BTCUSDT
2025-09-30 03:16:40.656,114311.4,0.07,BTCUSDT
2025-09-30 03:16:40.656,114311.4,0.07,BTCUSDT
2025-09-30 03:16:40.656,114311.4,0.001,BTCUSDT
2025-09-30 03:16:40.656,114311.4,0.07,BTCUSDT
2025-09-30 03:16:40.656,114311.4,0.07,BTCUSDT
2025-09-30 03:16:40.656,114311.4,0.07,BTCUSDT
2025-09-30 03:16:40.656,114311.4,0.001,BTCUSDT
